date,localName,name,countryCode,types
2025-01-01,Neujahr,New Year's Day,DE,Public
2025-01-06,Heilige Drei Könige,Epiphany,DE,Public
2025-03-08,Internationaler Frauentag,International Women's Day,DE,Public
2025-04-18,Karfreitag,Good Friday,DE,Public
2025-04-20,Ostersonntag,Easter Sunday,DE,Public
2025-04-21,Ostermontag,Easter Monday,DE,Public
2025-05-01,Tag der Arbeit,Labour Day,DE,Public
2025-05-08,Tag der Befreiung,Liberation Day,DE,Public
2025-05-29,Christi Himmelfahrt,Ascension Day,DE,Public
2025-06-08,Pfingstsonntag,Pentecost,DE,Public
2025-06-09,Pfingstmontag,Whit Monday,DE,Public
2025-06-19,Fronleichnam,Corpus Christi,DE,Public
2025-08-15,Mariä Himmelfahrt,Assumption Day,DE,Public
2025-09-20,Weltkindertag,World Children's Day,DE,Public
2025-10-03,Tag der Deutschen Einheit,German Unity Day,DE,Public
2025-10-31,Reformationstag,Reformation Day,DE,Public
2025-11-01,Allerheiligen,All Saints' Day,DE,Public
2025-11-19,Buß- und Bettag,Repentance and Prayer Day,DE,Public
2025-12-25,Erster Weihnachtstag,Christmas Day,DE,Public
2025-12-26,Zweiter Weihnachtstag,St. Stephen's Day,DE,Public
