date,localName,name,countryCode,types
2025-01-01,元旦,New Year's Day,CN,Public
2025-01-29,春节,Chinese New Year (Spring Festival),CN,Public
2025-04-05,清明节,Qingming Festival (Tomb-Sweeping Day),CN,Public
2025-05-01,劳动节,Labour Day,CN,Public
2025-05-31,端午节,Dragon Boat Festival,CN,Public
2025-10-01,国庆节,National Day,CN,Public
2025-10-06,中秋节,Mid-Autumn Festival,CN,Public
